iter	MAE
0	8.080493306
1	8.078854339
2	8.077264541
3	8.075722437
4	8.074226596
5	8.072746019
6	8.071339471
7	8.069975119
8	8.069299477
9	8.067996325
10	8.066732267
11	8.065498988
12	8.064309851
13	8.063156387
14	8.062037528
15	8.060952234
16	8.060429029
17	8.05939199
18	8.058386062
19	8.057908547
20	8.057410312
21	8.056463835
22	8.055545752
23	8.054655212
24	8.053791387
25	8.052953478
26	8.052140706
27	8.051738141
28	8.050957165
29	8.050578392
30	8.049836872
31	8.049117598
32	8.048765598
33	8.048078463
34	8.047411941
35	8.046765415
36	8.046138284
37	8.045529968
38	8.045233107
39	8.044651946
40	8.04408822
41	8.043541405
42	8.043010995
43	8.042496498
44	8.042249221
45	8.042009362
46	8.041524913
47	8.041054998
48	8.04059918
49	8.040386835
50	8.039951062
51	8.039528363
52	8.039312146
53	8.038908613
54	8.038517187
55	8.038334839
56	8.038157962
57	8.037960626
58	8.037597639
59	8.037245542
60	8.036904008
61	8.03657272
62	8.036420829
63	8.036251371
64	8.036104037
65	8.035796748
66	8.035498678
67	8.035189357
68	8.034909508
69	8.034638055
70	8.034374746
71	8.034237826
72	8.034119336
73	8.033853711
74	8.033613932
75	8.033381346
76	8.033155738
77	8.032920583
78	8.032692483
79	8.032598169
80	8.032396056
81	8.032200007
82	8.032113929
83	8.031926344
84	8.031825376
85	8.031646447
86	8.031551446
87	8.031380735
88	8.031215145
89	8.031054523
90	8.030898719
91	8.03074759
92	8.030600994
93	8.030458797
94	8.030320865
95	8.030187071
96	8.030117016
97	8.030057291
98	8.029999359
99	8.02987521
100	8.029754786
101	8.02962691
102	8.029513935
103	8.029404349
104	8.029345995
105	8.029298051
106	8.029194942
107	8.029149831
108	8.029051169
109	8.028955466
110	8.028862634
111	8.028772587
112	8.028733849
113	8.028647666
114	8.028564068
115	8.028482979
116	8.028448684
117	8.028371056
118	8.028295757
119	8.028222716
120	8.028151867
121	8.028083143
122	8.028016481
123	8.027951819
124	8.027889096
125	8.027828256
126	8.027802966
127	8.027744709
128	8.0276882
129	8.027633387
130	8.027580217
131	8.027528643
132	8.027478616
133	8.02743009
134	8.027383019
135	8.027356586
136	8.027337361
137	8.027293072
138	8.027250112
139	8.027208441
140	8.027191421
141	8.02715151
142	8.027112797
143	8.027075245
144	8.027032531
145	8.026991099
146	8.026957198
147	8.026924314
148	8.026892417
149	8.026861477
150	8.026831465
151	8.026819609
152	8.026808109
153	8.026779698
154	8.026752139
155	8.026741644
156	8.026715226
157	8.026683728
158	8.026659048
159	8.026635109
160	8.026626262
161	8.026603306
162	8.026581039
163	8.02655944
164	8.026538489
165	8.026518167
166	8.026498454
167	8.026479333
168	8.026472399
169	8.026454059
170	8.026436269
171	8.026419014
172	8.026402275
173	8.026386039
174	8.02637029
175	8.026355014
176	8.02634563
177	8.026331093
178	8.026316993
179	8.026303315
180	8.0262867
181	8.026273932
182	8.026261546
183	8.026249532
184	8.026237878
185	8.026233708
186	8.026226574
187	8.026215609
188	8.026204973
189	8.026201167
190	8.026194656
191	8.026184648
192	8.026174941
193	8.026165525
194	8.026162156
195	8.026153123
196	8.026144362
197	8.026141286
198	8.02613288
199	8.026124726
200	8.026116816
201	8.026114094
202	8.026106503
203	8.02609914
204	8.026091998
205	8.026089588
206	8.026080553
207	8.026078351
208	8.026073969
209	8.026071832
210	8.02606551
211	8.026059376
212	8.026055377
213	8.026049548
214	8.026043894
215	8.026038409
216	8.026033089
217	8.026027929
218	8.026022923
219	8.026018068
220	8.026013358
221	8.026008789
222	8.026004358
223	8.026000059
224	8.02599589
225	8.025993198
226	8.025989234
227	8.025986702
228	8.025982933
229	8.025979277
230	8.025975731
231	8.025972291
232	8.025968955
233	8.025965718
234	8.025962579
235	8.025961519
236	8.025957549
237	8.02595658
238	8.025954655
239	8.025953715
240	8.025950936
241	8.02594824
242	8.025947382
243	8.025944793
244	8.025942281
245	8.025941498
246	8.025939086
247	8.025936745
248	8.025934475
249	8.025933782
250	8.025931601
251	8.025929485
252	8.025928852
253	8.025926819
254	8.025924847
255	8.025922933
256	8.025921638
257	8.025921078
258	8.025920534
259	8.025918021
260	8.025916312
261	8.025914655
262	8.025913048
263	8.025911488
264	8.025909976
265	8.025908509
266	8.025906478
267	8.025905116
268	8.025903794
269	8.025901941
270	8.025900715
271	8.025899525
272	8.025897834
273	8.025896731
274	8.025895139
275	8.025894889
276	8.025893345
277	8.025892377
278	8.025891438
279	8.025890028
280	8.02588916
281	8.025888317
282	8.0258875
283	8.025886707
284	8.025886543
285	8.025885779
286	8.025885038
287	8.025884888
288	8.025884174
289	8.025883481
290	8.02588241
291	8.02588177
292	8.025881149
293	8.025880171
294	8.025880072
295	8.025879502
296	8.025878582
297	8.025878057
298	8.025877191
299	8.025876708
300	8.025876239
301	8.025875449
302	8.025875018
303	8.025874599
304	8.025874193
305	8.0258738
306	8.025873418
307	8.025873048
308	8.025872409
309	8.025872069
310	8.025871739
311	8.025871419
312	8.025871109
313	8.025870561
314	8.025870295
315	8.025870018
316	8.02586975
317	8.02586949
318	8.025869237
319	8.025868781
320	8.02586855
321	8.025868325
322	8.025868108
323	8.025867704
324	8.025867516
325	8.025867323
326	8.025867135
327	8.025866953
328	8.025866953
329	8.025866777
330	8.025866606
331	8.02586644
332	8.025866279
333	8.025866123
334	8.025865972
335	8.025865825
336	8.025865682
337	8.025865544
338	8.02586541
339	8.02586528
340	8.025865154
341	8.025865031
342	8.025864913
343	8.025864797
344	8.025864792
345	8.025864681
346	8.025864676
347	8.025864573
348	8.025864468
349	8.025864366
350	8.025864267
351	8.025864171
352	8.025864079
353	8.025863992
354	8.025863905
355	8.02586382
356	8.025863738
357	8.025863658
358	8.02586358
359	8.025863505
360	8.025863432
361	8.025863361
362	8.025863293
363	8.025863226
364	8.025863162
365	8.025863099
366	8.025863038
367	8.025862979
368	8.025862922
369	8.025862867
370	8.025862813
371	8.025862761
372	8.02586271
373	8.025862661
374	8.025862614
375	8.025862568
376	8.025862523
377	8.025862479
378	8.025862437
379	8.025862396
380	8.025862357
381	8.025862318
382	8.025862281
383	8.025862245
384	8.02586221
385	8.025862176
386	8.025862143
387	8.025862111
388	8.025862109
389	8.025862078
390	8.025862049
391	8.02586202
392	8.025861992
393	8.025861964
394	8.025861937
395	8.025861912
396	8.025861887
397	8.025861862
398	8.025861839
399	8.025861816
400	8.025861793
401	8.025861792
402	8.025861771
403	8.02586175
404	8.02586173
405	8.02586171
406	8.025861692
407	8.025861673
408	8.025861655
409	8.025861638
410	8.025861621
