iter	Passed	Remaining
0	0	468
1	0	425
2	1	411
3	1	396
4	1	384
5	2	376
6	2	374
7	3	373
8	3	373
9	3	373
10	4	372
11	4	372
12	4	369
13	5	367
14	5	364
15	5	363
16	6	364
17	6	366
18	7	365
19	7	364
20	7	362
21	8	361
22	8	359
23	8	359
24	9	360
25	9	360
26	10	360
27	10	359
28	10	359
29	11	357
30	11	359
31	11	359
32	12	362
33	12	359
34	12	357
35	13	355
36	13	353
37	13	352
38	14	351
39	14	350
40	14	349
41	15	348
42	15	348
43	16	347
44	16	346
45	16	345
46	17	344
47	17	343
48	17	342
49	17	341
50	18	340
51	18	339
52	18	338
53	19	337
54	19	336
55	19	335
56	20	334
57	20	333
58	20	332
59	21	332
60	21	331
61	21	331
62	22	330
63	22	330
64	22	330
65	23	329
66	23	328
67	23	327
68	24	327
69	24	327
70	24	326
71	25	326
72	25	326
73	26	325
74	26	324
75	26	323
76	26	322
77	27	322
78	27	321
79	27	320
80	28	320
81	28	319
82	28	319
83	29	318
84	29	318
85	29	317
86	30	317
87	30	316
88	30	315
89	31	315
90	31	314
91	31	314
92	32	314
93	32	313
94	32	313
95	33	313
96	33	312
97	33	311
98	34	310
99	34	310
100	34	310
101	35	309
102	35	309
103	35	308
104	36	308
105	36	307
106	36	307
107	37	307
108	37	306
109	37	306
110	38	306
111	38	305
112	38	305
113	39	305
114	39	305
115	39	304
116	40	304
117	40	304
118	41	303
119	41	303
120	41	302
121	42	302
122	42	302
123	42	302
124	43	301
125	43	301
126	43	300
127	44	300
128	44	300
129	44	299
130	45	299
131	45	299
132	45	298
133	46	298
134	46	298
135	46	298
136	47	297
137	47	297
138	47	296
139	48	296
140	48	296
141	48	295
142	49	295
143	49	295
144	50	295
145	50	294
146	50	294
147	51	294
148	51	293
149	51	293
150	52	293
151	52	292
152	52	292
153	53	292
154	53	291
155	53	291
156	54	290
157	54	290
158	54	290
159	55	289
160	55	288
161	55	288
162	56	287
163	56	287
164	56	286
165	56	285
166	57	285
167	57	284
168	57	284
169	58	283
170	58	283
171	58	283
172	59	282
173	59	282
174	59	281
175	60	281
176	60	280
177	60	280
178	61	280
179	61	279
180	61	279
181	62	278
182	62	278
183	62	278
184	63	277
185	63	277
186	63	276
187	63	276
188	64	276
189	64	275
190	64	275
191	65	274
192	65	274
193	65	274
194	66	273
195	66	273
196	66	272
197	67	272
198	67	271
199	67	271
200	68	271
201	68	270
202	68	270
203	69	269
204	69	269
205	69	268
206	69	268
207	70	267
208	70	267
209	70	266
210	71	266
211	71	265
212	71	265
213	72	264
214	72	264
215	72	263
216	72	263
217	73	262
218	73	262
219	73	261
220	74	261
221	74	260
222	74	260
223	75	259
224	75	259
225	75	258
226	75	258
227	76	258
228	76	257
229	76	257
230	77	256
231	77	256
232	77	255
233	77	255
234	78	254
235	78	254
236	78	253
237	79	253
238	79	253
239	79	252
240	80	252
241	80	252
